id,Name,Rank,Population,Longitude,Latitude,Area,Density,Subs,MetroArea,Changes
63,Eastbourne,65,118219,30777.68157,6580833.914,25.1,4705,"Eastbourne, Polegate",Brighton,
64,Exeter,66,117763,-391592.1141,6566850.883,28.5,4133,"Exeter, Topsham",Exeter,
65,Cheltenham,67,116447,-228319.6615,6781531.538,28.9,4034,"Cheltenham,",Gloucester-Cheltenham,
66,Paignton/Torquay,68,115410,-398172.3641,6525724.32,31.5,3667,"Paignton, Torquay, Marldon",Torbay,
67,Lincoln,69,114879,-62219.75763,7025463.462,32.7,3518,"Lincoln, North Hykeham",Lincoln,
68,Chesterfield,70,113057,-159278.4449,7029576.118,34.6,3263,"Chesterfield, Staveley, Wingerworth, Holymoorside",Sheffield,Addition of Wingerworth to the Built-up area.
69,Chelmsford,71,111511,51289.55456,6754850.681,26.2,4259,"Chelmsford, Little Waltham",London,
70,Basingstoke,72,107642,-125554.6637,6669307.431,29.4,3662,Basingstoke,London,
71,Maidstone,73,107627,56224.74204,6670129.963,25.4,4229,Maidstone,London,
72,Bedford,74,106940,-53171.9139,6826410.9,24.8,4309,"Bedford, Kempston",Bedford,
73,Worcester,75,-248934.3509,6837103.806,101659,24.7,4121,"Worcester, Norton",Worcester,
